No,thread_url,post_code
172,https://www.threads.net/@asa_to_ame/post/DU5cahAk6O2,DU5cahAk6O2
173,https://www.threads.net/@asa_to_ame/post/DU5X_QQk8ph,DU5X_QQk8ph
174,https://www.threads.net/@asa_to_ame/post/DU5YV0qEweA,DU5YV0qEweA
175,https://www.threads.net/@asa_to_ame/post/DU5VMb0k70r,DU5VMb0k70r
176,https://www.threads.net/@asa_to_ame/post/DU5SaBqk8pe,DU5SaBqk8pe
177,https://www.threads.net/@asa_to_ame/post/DU5SZw6E-oT,DU5SZw6E-oT
178,https://www.threads.net/@asa_to_ame/post/DU4p6juk8d_,DU4p6juk8d_
179,https://www.threads.net/@asa_to_ame/post/DU4omotE7Kp,DU4omotE7Kp
180,https://www.threads.net/@asa_to_ame/post/DU4jtYokyZy,DU4jtYokyZy
181,https://www.threads.net/@asa_to_ame/post/DU4UWm_k_pW,DU4UWm_k_pW
182,https://www.threads.net/@asa_to_ame/post/DU293H0k-uk,DU293H0k-uk
183,https://www.threads.net/@asa_to_ame/post/DU2x-Nikyr2,DU2x-Nikyr2
184,https://www.threads.net/@asa_to_ame/post/DU2tS1LEwk4,DU2tS1LEwk4
185,https://www.threads.net/@asa_to_ame/post/DU2tS1gE2tG,DU2tS1gE2tG
186,https://www.threads.net/@asa_to_ame/post/DU2nNG-ExD1,DU2nNG-ExD1
187,https://www.threads.net/@asa_to_ame/post/DU2hS1zEzJi,DU2hS1zEzJi
188,https://www.threads.net/@asa_to_ame/post/DU2f9JvDJia,DU2f9JvDJia
189,https://www.threads.net/@asa_to_ame/post/DU2YLssk9RR,DU2YLssk9RR
190,https://www.threads.net/@asa_to_ame/post/DU2MqgEE690,DU2MqgEE690
191,https://www.threads.net/@asa_to_ame/post/DU2MqfwE7NM,DU2MqfwE7NM
192,https://www.threads.net/@asa_to_ame/post/DU2MUhsk3Bb,DU2MUhsk3Bb
193,https://www.threads.net/@asa_to_ame/post/DU2JdqGk9MW,DU2JdqGk9MW
194,https://www.threads.net/@asa_to_ame/post/DU2JglnE31-,DU2JglnE31-
195,https://www.threads.net/@asa_to_ame/post/DU11OkKk-X_,DU11OkKk-X_
196,https://www.threads.net/@asa_to_ame/post/DU1w6acEyNq,DU1w6acEyNq
197,https://www.threads.net/@asa_to_ame/post/DU1w_bvk_eS,DU1w_bvk_eS
198,https://www.threads.net/@asa_to_ame/post/DU1fUitk_SC,DU1fUitk_SC
199,https://www.threads.net/@asa_to_ame/post/DU1fWb-E0hX,DU1fWb-E0hX
200,https://www.threads.net/@asa_to_ame/post/DU0x3SVk1eG,DU0x3SVk1eG
201,https://www.threads.net/@asa_to_ame/post/DU0x3U6k7iT,DU0x3U6k7iT
202,https://www.threads.net/@asa_to_ame/post/DU0R4wiEzvC,DU0R4wiEzvC
